timestamp,sensor,termopar,mercurio
2025-05-04 16:23:28,2.75,2,4
2025-05-04 16:24:10,4.25,4,5
2025-05-04 16:25:25,5.81,5,8
2025-05-04 16:26:14,7.31,7,8.5
2025-05-04 16:26:56,8.56,8,10
2025-05-04 16:27:43,9.88,9,11
2025-05-04 16:29:13,11.19,11,12
2025-05-04 16:32:09,14.38,14,15
2025-05-04 16:34:19,17.87,17,19
2025-05-04 16:36:23,20.62,20,21
2025-05-04 16:38:31,22.81,22,23
2025-05-04 16:40:29,24.81,24,25
2025-05-04 16:47:26,28.75,28,29
2025-05-04 16:50:07,31.75,31,32
2025-05-04 16:50:19,31.75,-
2025-05-04 16:50:19,31.75,-
2025-05-04 16:50:19,31.75,-
2025-05-04 16:57:56,35.81,35,36
2025-05-04 16:59:44,38.88,38,39
2025-05-04 17:01:26,42.50,41,42.8
2025-05-04 17:05:43,48.06,47,48
2025-05-04 17:07:46,50.31,49,50
2025-05-04 17:09:27,52.56,51,52
2025-05-04 17:12:29,57.25,56,57
2025-05-04 17:13:40,61.19,60,61
2025-05-04 17:14:29,64.25,63,64
2025-05-04 17:15:46,64.37,63,64
2025-05-04 17:18:41,67.12,66,67
2025-05-04 17:20:10,70.87,70,70.5
2025-05-04 17:20:56,71.44,70,71
2025-05-04 17:23:32,73.00,72,73
2025-05-04 17:28:10,77.31,77,77
2025-05-04 17:33:14,83.12,83,83
2025-05-04 17:37:18,88.87,89,89
2025-05-04 17:44:39,91.69,91
2025-05-04 17:45:45,92.87,92
2025-05-04 17:46:42,93.06,93
2025-05-04 17:48:10,93.37,93,92
2025-05-04 17:48:59,91.19,91,91
2025-05-04 17:50:09,86.44,86,86
2025-05-04 17:51:36,80.69,80,80
2025-05-04 17:53:10,75.31,75,76
2025-05-04 17:54:37,71.87,71,71
2025-05-04 17:58:16,64.06,63,64
2025-05-04 17:59:58,60.88,60,61
2025-05-04 18:00:48,55.13,55,55
2025-05-04 18:02:06,51.13,51,50.5
2025-05-04 18:02:55,46.25,46,46
2025-05-04 18:03:51,42.00,42,42
2025-05-04 18:05:09,39.44,39,39
2025-05-04 18:06:29,35.69,35,35.8
2025-05-04 18:07:38,31.69,31,32
2025-05-04 18:09:54,26.12,26,26
2025-05-04 18:19:54,8.75,5,10
2025-05-04 18:20:36,0.37,1,1
2025-05-04 18:22:07,-1.56,-,-0.5
2025-05-04 18:23:14,-2.12,-,-1
2025-05-04 18:25:00,-2.44,-,-1.5
